schema_name,table_name,total_size,table_size,index_size,index_ratio_percent,size_bytes
public,message_deliveries,"1128 kB","224 kB","904 kB",80.1,1155072
auth,audit_log_entries,"568 kB","408 kB","160 kB",28.2,581632
supabase_migrations,schema_migrations,"504 kB","272 kB","232 kB",46.0,516096
public,event_guests,"304 kB","64 kB","240 kB",78.9,311296
auth,users,"296 kB","96 kB","200 kB",67.6,303104
auth,refresh_tokens,"232 kB","48 kB","184 kB",79.3,237568
public,messages,"208 kB","24 kB","184 kB",88.5,212992
realtime,subscription,"200 kB","64 kB","136 kB",68.0,204800
public,user_link_audit,"176 kB","0 bytes","176 kB",100.0,180224
public,scheduled_messages,"152 kB","32 kB","120 kB",78.9,155648
auth,one_time_tokens,"144 kB","8192 bytes","136 kB",94.4,147456
auth,sessions,"144 kB","40 kB","104 kB",72.2,147456
auth,identities,"128 kB","32 kB","96 kB",75.0,131072
public,rum_events,"104 kB","24 kB","80 kB",76.9,106496
public,users,"88 kB","16 kB","72 kB",81.8,90112
public,index_usage_snapshots,"88 kB","40 kB","48 kB",54.5,90112
auth,mfa_amr_claims,"88 kB","16 kB","72 kB",81.8,90112
auth,flow_state,"80 kB","8192 bytes","72 kB",90.0,81920
storage,objects,"80 kB","8192 bytes","72 kB",90.0,81920
public,events,"56 kB","8192 bytes","48 kB",85.7,57344
